,Jobs,Application Links,Post Date,Location,Closed Date,Status
96,"Program Manager, Internal Audit – Operations & Financial, North America",https://www.tesla.com/careers/search/job/program-manager-internal-audit-operations-financial-north-america-70204,09/01/2020,U.S,As Soon As Possible,OPEN
97,Facilities & Construction Internship (Summer 2021),https://www.tesla.com/careers/search/job/facilities-construction-internship-summer-2021-75766,10/30/2020,U.S,As Soon As Possible,OPEN
98,Vehicle Hardware - Program Management Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-program-management-internship-summer-2021-75802,10/30/2020,U.S,As Soon As Possible,OPEN
99,Finance - Accounting Internship (Summer 2021),https://www.tesla.com/careers/search/job/finance-accounting-internship-summer-2021-75767,10/30/2020,U.S,As Soon As Possible,OPEN
100,Energy - Supercharger Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-supercharger-internship-summer-2021-75761,10/30/2020,U.S,As Soon As Possible,OPEN
101,IT - Operations Internship (Summer 2021),https://www.tesla.com/careers/search/job/it-operations-internship-summer-2021-75773,10/30/2020,U.S,As Soon As Possible,OPEN
102,Autopilot - Perception Internship (Summer 2021),https://www.tesla.com/careers/search/job/autopilot-perception-internship-summer-2021-75824,01/07/2021,U.S,As Soon As Possible,OPEN
103,Vehicle Hardware - Electrical/Computer Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-electrical-computer-engineering-internship-summer-2021-75804,01/15/2021,U.S,As Soon As Possible,OPEN
104,Immigration Internship (Summer 2021),https://www.tesla.com/careers/search/job/immigration-internship-summer-2021-75770,10/30/2020,U.S,As Soon As Possible,OPEN
105,Finance - Corporate Accounting (Fund & Payroll) Internship (Summer 2021),https://www.tesla.com/careers/search/job/finance-corporate-accounting-fund-payroll-internship-summer-2021-75750,10/30/2020,U.S,As Soon As Possible,OPEN
106,Software - Video Games Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-video-games-engineering-internship-summer-2021-75440,10/30/2020,U.S,As Soon As Possible,OPEN
107,Manufacturing - Automation Controls Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/manufacturing-automation-controls-engineering-internship-summer-2021-75775,10/30/2020,U.S,As Soon As Possible,OPEN
108,Information Security Internship (Summer 2021),https://www.tesla.com/careers/search/job/information-security-internship-summer-2021-75771,01/15/2021,U.S,As Soon As Possible,OPEN
109,Vehicle Engineering - Powertrain Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-powertrain-internship-summer-2021-75826,10/30/2020,U.S,As Soon As Possible,OPEN
110,Energy – Technical Program Management Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-technical-program-management-internship-summer-2021-75758,10/30/2020,U.S,As Soon As Possible,OPEN
111,Software - Factory Firmware Integration Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-factory-firmware-integration-engineering-internship-summer-2021-75441,10/30/2020,U.S,As Soon As Possible,OPEN
112,Service Engineering – Charging Systems Internship (Summer 2021),https://www.tesla.com/careers/search/job/service-engineering-charging-systems-internship-summer-2021-75116,10/27/2020,U.S,As Soon As Possible,OPEN
113,"Energy - Technical Projects, Applications, Service, & Sales Engineering Internship (Summer 2021)",https://www.tesla.com/careers/search/job/energy-technical-projects-applications-service-sales-engineering-internship-summer-2021-75755,11/08/2020,U.S,As Soon As Possible,OPEN
114,Manufacturing - Packaging Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/manufacturing-packaging-engineering-internship-summer-2021-75781,10/30/2020,U.S,As Soon As Possible,OPEN
115,"Senior Associate, Internal Audit – Operations & Financial North America",https://www.tesla.com/careers/search/job/senior-associate-internal-audit-operations-financial-north-america-70206,09/01/2020,U.S,As Soon As Possible,OPEN
116,Energy - Asset Management Analyst Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-asset-management-analyst-internship-summer-2021-75752,10/30/2020,U.S,As Soon As Possible,OPEN
117,IT - Infrastructure Internship (Summer 2021),https://www.tesla.com/careers/search/job/it-infrastructure-internship-summer-2021-75772,10/30/2020,U.S,As Soon As Possible,OPEN
118,Energy - Compliance & Reliability Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/energy-compliance-reliability-engineering-internship-summer-2021-75753,10/30/2020,U.S,As Soon As Possible,OPEN
