,Jobs,Application Links,Location,Post Date,Closed Date,Status
116,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Chicago-IL-60611/702436900/,"Chicago, IL, US, 60611","Jan 4, 2021",As soon as possible,Open
117,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Charlotte-Assistant-Manager%2C-Client-Experience-NC-28216/704407800/,"Charlotte, NC, US, 28216","Jan 11, 2021",As soon as possible,Open
118,Beauty Advisor,https://jobs.sephora.com/USA/job/Saint-Louis-Beauty-Advisor-MO-63117/702295800/,"Saint Louis, MO, US, 63117","Jan 2, 2021",As soon as possible,Open
119,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Denver-Assistant-Manager%2C-Client-Services-CO-80202/683283700/,"Denver, CO, US, 80202","Jan 6, 2021",As soon as possible,Open
120,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Marlton-Assistant-Manager%2C-Client-Services-NJ-08053/702332300/,"Marlton, NJ, US, 08053","Jan 3, 2021",As soon as possible,Open
121,"Assistant Manager, Client Services",https://jobs.sephora.com/USA/job/Durham-Assistant-Manager%2C-Client-Services-NC-27713/702537600/,"Durham, NC, US, 27713","Jan 4, 2021",As soon as possible,Open
122,"Assistant Manager, Client Experience",https://jobs.sephora.com/USA/job/Seattle-WA-98188/682996500/,"Seattle, WA, US, 98188","Jan 7, 2021",As soon as possible,Open
123,Beauty Advisor,https://jobs.sephora.com/USA/job/Fresno-Beauty-Advisor-CA-93710/701652400/,"Fresno, CA, US, 93710","Dec 28, 2020",As soon as possible,Open
124,Beauty Advisor,https://jobs.sephora.com/USA/job/Farmington-Beauty-Advisor-UT-84025/682300600/,"Farmington, UT, US, 84025","Jan 5, 2021",As soon as possible,Open
125,Beauty Advisor,https://jobs.sephora.com/USA/job/Houston-TX-77027/701749700/,"Houston, TX, US, 77027","Dec 29, 2020",As soon as possible,Open
126,Beauty Advisor,https://jobs.sephora.com/USA/job/Chestnut-Hill-MA-02467/701711800/,"Chestnut Hill, MA, US, 02467","Dec 29, 2020",As soon as possible,Open
