,Jobs,Application Links,Post Date,Location,Closed Date,Status
168,"Visiting Research Engineer, Core ML (University Grad)",https://www.facebook.com/careers/v2/jobs/398295224763899/,Not Available,U.S,As Soon As Possible,OPEN
169,"Research Scientist, On-Device AI (PhD)",https://www.facebook.com/careers/v2/jobs/382075162943750/,Not Available,U.S,As Soon As Possible,OPEN
170,"Software Engineer Intern, Machine Learning (PhD)",https://www.facebook.com/careers/v2/jobs/2458235781145883/,Not Available,U.S,As Soon As Possible,OPEN
171,"Research Scientist, Societal Impact (PhD)",https://www.facebook.com/careers/v2/jobs/216581553269232/,Not Available,U.S,As Soon As Possible,OPEN
172,"Market Specialist, Filipino - Graduate",https://www.facebook.com/careers/v2/jobs/2830245637231337/,Not Available,U.S,As Soon As Possible,OPEN
173,"Market Specialist, Thai - Graduate",https://www.facebook.com/careers/v2/jobs/879268169538618/,Not Available,U.S,As Soon As Possible,OPEN
174,"Legal TDR Specialist, Digital Rights Operations, Korean",https://www.facebook.com/careers/v2/jobs/407638727264704/,Not Available,U.S,As Soon As Possible,OPEN
175,"Account Manager, Early Careers, DACH Market",https://www.facebook.com/careers/v2/jobs/1054593905053640/,Not Available,U.S,As Soon As Possible,OPEN
176,Strategic Partnership Manager Intern (MBA),https://www.facebook.com/careers/v2/jobs/150545410061294/,Not Available,U.S,As Soon As Possible,OPEN
177,"Market Specialist, Measurement Team, Filipino - Graduate",https://www.facebook.com/careers/v2/jobs/226917415584952/,Not Available,U.S,As Soon As Possible,OPEN
178,"Market Specialist, Measurement Team, India - Graduate",https://www.facebook.com/careers/v2/jobs/1000843710408769/,Not Available,U.S,As Soon As Possible,OPEN
179,"Account Manager, Early Careers, UK&Ireland Market ",https://www.facebook.com/careers/v2/jobs/1870073839822835/,Not Available,U.S,As Soon As Possible,OPEN
180,Finance Intern,https://www.facebook.com/careers/v2/jobs/2229926287151738/,Not Available,U.S,As Soon As Possible,OPEN
181,"Business Strategy & Planning (BSP) Analyst, Intern  ",https://www.facebook.com/careers/v2/jobs/191258409155818/,Not Available,U.S,As Soon As Possible,OPEN
182,Product Design Intern (2021),https://www.facebook.com/careers/v2/jobs/786201728799153/,Not Available,U.S,As Soon As Possible,OPEN
